index,name,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
6,Euk./Chlamydomonas/1-208 eustigma/A0A250XK67_9CHLO/459-666,A0A250XK67_9CHLO,Eukaryota,Viridiplantae,Chlorophyta,core chlorophytes,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas eustigma,,,,,,,,,,,,,,,,

7,Euk./Ectocarpus/1-188 siliculosus Brown alga Conferva siliculosa/D8LPE4_ECTSI/244-431,D8LPE4_ECTSI,Eukaryota,Sar,Stramenopiles,Ochrophyta,PX clade,Phaeophyceae,Ectocarpales,Ectocarpaceae,Ectocarpus,Ectocarpus siliculosus (Brown alga) (Conferva siliculosa),,,,,,,,,,,,,,,

8,Euk./Gonapodya/1-176 prolifera strain JEL478 Monoblepharis prolifera/A0A138ZWU4_GONPJ/230-405,A0A138ZWU4_GONPJ,Eukaryota,Opisthokonta,Fungi,Fungi incertae sedis,Chytridiomycota,Chytridiomycota incertae sedis,Monoblepharidomycetes,Monoblepharidales,Gonapodyaceae,Gonapodya,Gonapodya prolifera (Aquatic fungus),Gonapodya prolifera (strain JEL478) (Monoblepharis prolifera),,,,,,,,,,,,,

9,Euk./Gonapodya/1-175 prolifera strain JEL478 Monoblepharis prolifera/A0A139A9J7_GONPJ/166-340,A0A139A9J7_GONPJ,Eukaryota,Opisthokonta,Fungi,Fungi incertae sedis,Chytridiomycota,Chytridiomycota incertae sedis,Monoblepharidomycetes,Monoblepharidales,Gonapodyaceae,Gonapodya,Gonapodya prolifera (Aquatic fungus),Gonapodya prolifera (strain JEL478) (Monoblepharis prolifera),,,,,,,,,,,,,

10,Euk./Klebsormidium/1-173 nitens Green alga Ulothrix nitens/A0A1Y1IQZ1_KLENI/238-410,A0A1Y1IQZ1_KLENI,Eukaryota,Viridiplantae,Streptophyta,Klebsormidiophyceae,Klebsormidiales,Klebsormidiaceae,Klebsormidium,Klebsormidium nitens (Green alga) (Ulothrix nitens),,,,,,,,,,,,,,,,,

11,Euk./Klebsormidium/1-176 nitens Green alga Ulothrix nitens/A0A1Y1IIV4_KLENI/264-439,A0A1Y1IIV4_KLENI,Eukaryota,Viridiplantae,Streptophyta,Klebsormidiophyceae,Klebsormidiales,Klebsormidiaceae,Klebsormidium,Klebsormidium nitens (Green alga) (Ulothrix nitens),,,,,,,,,,,,,,,,,

12,Euk./Klebsormidium/1-96 nitens Green alga Ulothrix nitens/A0A1Y1IS02_KLENI/171-266,A0A1Y1IS02_KLENI,Eukaryota,Viridiplantae,Streptophyta,Klebsormidiophyceae,Klebsormidiales,Klebsormidiaceae,Klebsormidium,Klebsormidium nitens (Green alga) (Ulothrix nitens),,,,,,,,,,,,,,,,,

13,Euk./Klebsormidium/1-176 nitens Green alga Ulothrix nitens/A0A1Y1I2F8_KLENI/713-888,A0A1Y1I2F8_KLENI,Eukaryota,Viridiplantae,Streptophyta,Klebsormidiophyceae,Klebsormidiales,Klebsormidiaceae,Klebsormidium,Klebsormidium nitens (Green alga) (Ulothrix nitens),,,,,,,,,,,,,,,,,

14,Euk./Phytophthora/1-218 cactorum/A0A329RMU2_9STRA/286-503,A0A329RMU2_9STRA,Eukaryota,Sar,Stramenopiles,Oomycota,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora cactorum,,,,,,,,,,,,,,,,,

15,Euk./Phytophthora/1-219 parasitica strain INRA-310/W2PT61_PHYPN/284-502,W2PT61_PHYPN,Eukaryota,Sar,Stramenopiles,Oomycota,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora parasitica (Potato buckeye rot agent),Phytophthora parasitica (strain INRA-310),,,,,,,,,,,,,,,,

16,Euk./Phytophthora/1-219 nicotianae Buckeye rot agent/A0A0W8DYX8_PHYNI/284-502,A0A0W8DYX8_PHYNI,Eukaryota,Sar,Stramenopiles,Oomycota,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora nicotianae (Buckeye rot agent),,,,,,,,,,,,,,,,,

17,Euk./Phytophthora/1-133 cactorum/A0A329RC37_9STRA/8-140,A0A329RC37_9STRA,Eukaryota,Sar,Stramenopiles,Oomycota,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora cactorum,,,,,,,,,,,,,,,,,

18,No_identified/A0A2K9L4S2_9VIRU/411-599,A0A2K9L4S2_9VIRU,No_identified,,,,,,,,,,,,,,,,,,,,,,,,

19,No_identified/A0A2K9L4V0_9VIRU/2062-2320,A0A2K9L4V0_9VIRU,No_identified,,,,,,,,,,,,,,,,,,,,,,,,

20,No_identified/A0A2K9L5I0_9VIRU/250-444,A0A2K9L5I0_9VIRU,No_identified,,,,,,,,,,,,,,,,,,,,,,,,

21,No_identified/A0A2K9L5K4_9VIRU/355-566,A0A2K9L5K4_9VIRU,No_identified,,,,,,,,,,,,,,,,,,,,,,,,

22,No_identified/A0A2K9L9G6_9VIRU/242-584,A0A2K9L9G6_9VIRU,No_identified,,,,,,,,,,,,,,,,,,,,,,,,

23,Vir./Acanthamoeba/1-347 polyphaga mimivirus APMV/CAPS1_MIMIV/242-588,CAPS1_MIMIV,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Mimivirus,Acanthamoeba polyphaga mimivirus (APMV),,,,,,,,,,,,,,,,

24,Vir./Acanthamoeba/1-185 polyphaga moumouvirus/L7RCX8_9VIRU/410-594,L7RCX8_9VIRU,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,unclassified Mimiviridae,Moumouvirus,Acanthamoeba polyphaga moumouvirus,,,,,,,,,,,,,,,

25,Vir./Acanthamoeba/1-178 polyphaga moumouvirus/L7RG19_9VIRU/327-504,L7RG19_9VIRU,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,unclassified Mimiviridae,Moumouvirus,Acanthamoeba polyphaga moumouvirus,,,,,,,,,,,,,,,

26,Vir./Acanthamoeba/1-184 polyphaga mimivirus APMV/CAPS2_MIMIV/402-585,CAPS2_MIMIV,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Mimivirus,Acanthamoeba polyphaga mimivirus (APMV),,,,,,,,,,,,,,,,

27,Vir./Acanthamoeba/1-181 polyphaga mimivirus APMV/CAPS4_MIMIV/325-505,CAPS4_MIMIV,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Mimivirus,Acanthamoeba polyphaga mimivirus (APMV),,,,,,,,,,,,,,,,

28,Vir./Acanthamoeba/1-573 polyphaga mimivirus APMV/CAPS3_MIMIV/1578-2150,CAPS3_MIMIV,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Mimivirus,Acanthamoeba polyphaga mimivirus (APMV),,,,,,,,,,,,,,,,

29,Vir./Acanthocystis/1-117 turfacea chlorella virus 1/A7K9G8_9PHYC/373-489,A7K9G8_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Chlorovirus,Acanthocystis turfacea chlorella virus 1,,,,,,,,,,,,,,,,

30,Vir./Acanthocystis/1-216 turfacea chlorella virus 1/A7K8P0_9PHYC/218-433,A7K8P0_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Chlorovirus,Acanthocystis turfacea chlorella virus 1,,,,,,,,,,,,,,,,

31,Vir./Acanthocystis/1-193 turfacea chlorella virus 1/A7K9S4_9PHYC/211-403,A7K9S4_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Chlorovirus,Acanthocystis turfacea chlorella virus 1,,,,,,,,,,,,,,,,

32,Vir./Acanthocystis/1-191 turfacea chlorella virus 1/A7K9B6_9PHYC/206-396,A7K9B6_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Chlorovirus,Acanthocystis turfacea chlorella virus 1,,,,,,,,,,,,,,,,

33,Vir./Acanthocystis/1-183 turfacea chlorella virus 1/A7K8B1_9PHYC/334-516,A7K8B1_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Chlorovirus,Acanthocystis turfacea chlorella virus 1,,,,,,,,,,,,,,,,

34,Vir./African/1-224 swine fever virus strain Badajoz 1971 Vero-adapted Ba71V ASFV/MCP_ASFB7/418-641,MCP_ASFB7,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Asfuvirales,Asfarviridae,Asfivirus,African swine fever virus (ASFV),African swine fever virus (strain Badajoz 1971 Vero-adapted) (Ba71V) (ASFV),,,,,,,,,,,,,,,

35,Vir./Ambystoma/1-200 tigrinum virus/A0A0U2JD16_9VIRU/260-459,A0A0U2JD16_9VIRU,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Alphairidovirinae,Ranavirus,Ambystoma tigrinum virus,,,,,,,,,,,,,,,

36,Vir./Ambystoma/1-200 tigrinum stebbensi virus/Q6YHB1_9VIRU/260-459,Q6YHB1_9VIRU,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Alphairidovirinae,Ranavirus,Ambystoma tigrinum virus,Ambystoma tigrinum stebbensi virus,,,,,,,,,,,,,,

37,Vir./Armadillidium/1-198 vulgare iridescent virus/A0A068QKK8_9VIRU/270-467,A0A068QKK8_9VIRU,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Betairidovirinae,Iridovirus (small iridescent insect viruses),Invertebrate iridescent virus 31,Armadillidium vulgare iridescent virus,,,,,,,,,,,,,,

38,Vir./Aureococcus/1-237 anophagefferens virus/A0A076FFR8_9PHYC/229-465,A0A076FFR8_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,unclassified Phycodnaviridae,Aureococcus anophagefferens virus,,,,,,,,,,,,,,,,

39,Vir./Aureococcus/1-236 anophagefferens virus/A0A076FG19_9PHYC/327-562,A0A076FG19_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,unclassified Phycodnaviridae,Aureococcus anophagefferens virus,,,,,,,,,,,,,,,,

40,Vir./Bathycoccus/1-188 sp. RCC1105 virus BpV1/E5ES96_9PHYC/253-440,E5ES96_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,unclassified Prasinovirus,Bathycoccus sp. RCC1105 virus BpV,Bathycoccus sp. RCC1105 virus BpV1,,,,,,,,,,,,,,

41,Vir./Bathycoccus/1-207 sp. RCC1105 virus BpV1/E5ESH2_9PHYC/198-404,E5ESH2_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,unclassified Prasinovirus,Bathycoccus sp. RCC1105 virus BpV,Bathycoccus sp. RCC1105 virus BpV1,,,,,,,,,,,,,,

42,Vir./Bathycoccus/1-148 sp. RCC1105 virus BpV2/E5EQZ3_9PHYC/192-339,E5EQZ3_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,unclassified Prasinovirus,Bathycoccus sp. RCC1105 virus BpV,Bathycoccus sp. RCC1105 virus BpV2,,,,,,,,,,,,,,

43,Vir./Bathycoccus/1-186 sp. RCC1105 virus BpV2/E5ER12_9PHYC/247-432,E5ER12_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,unclassified Prasinovirus,Bathycoccus sp. RCC1105 virus BpV,Bathycoccus sp. RCC1105 virus BpV2,,,,,,,,,,,,,,

44,Vir./Bathycoccus/1-109 sp. RCC1105 virus BpV1/E5ES95_9PHYC/278-386,E5ES95_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,unclassified Prasinovirus,Bathycoccus sp. RCC1105 virus BpV,Bathycoccus sp. RCC1105 virus BpV1,,,,,,,,,,,,,,

45,Vir./Bathycoccus/1-110 sp. RCC1105 virus BpV1/E5ES72_9PHYC/230-339,E5ES72_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,unclassified Prasinovirus,Bathycoccus sp. RCC1105 virus BpV,Bathycoccus sp. RCC1105 virus BpV1,,,,,,,,,,,,,,

46,Vir./Bathycoccus/1-157 sp. RCC1105 virus BpV2/E5ER11_9PHYC/230-386,E5ER11_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,unclassified Prasinovirus,Bathycoccus sp. RCC1105 virus BpV,Bathycoccus sp. RCC1105 virus BpV2,,,,,,,,,,,,,,

47,Vir./Bathycoccus/1-198 sp. RCC1105 virus BpV2/E5ER94_9PHYC/198-395,E5ER94_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,unclassified Prasinovirus,Bathycoccus sp. RCC1105 virus BpV,Bathycoccus sp. RCC1105 virus BpV2,,,,,,,,,,,,,,

48,Vir./Bathycoccus/1-156 sp. RCC1105 virus BpV2/E5ERB9_9PHYC/206-361,E5ERB9_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,unclassified Prasinovirus,Bathycoccus sp. RCC1105 virus BpV,Bathycoccus sp. RCC1105 virus BpV2,,,,,,,,,,,,,,

49,Vir./Bathycoccus/1-189 sp. RCC1105 virus BpV1/E5ESK2_9PHYC/249-437,E5ESK2_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,unclassified Prasinovirus,Bathycoccus sp. RCC1105 virus BpV,Bathycoccus sp. RCC1105 virus BpV1,,,,,,,,,,,,,,

50,Vir./Bathycoccus/1-192 sp. RCC1105 virus BpV2/E5ERC3_9PHYC/248-439,E5ERC3_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,unclassified Prasinovirus,Bathycoccus sp. RCC1105 virus BpV,Bathycoccus sp. RCC1105 virus BpV2,,,,,,,,,,,,,,

51,Vir./Bathycoccus/1-107 sp. RCC1105 virus BpV2/E5EQZ5_9PHYC/220-326,E5EQZ5_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,unclassified Prasinovirus,Bathycoccus sp. RCC1105 virus BpV,Bathycoccus sp. RCC1105 virus BpV2,,,,,,,,,,,,,,

52,Vir./Bathycoccus/1-104 sp. RCC1105 virus BpV1/E5ES74_9PHYC/220-323,E5ES74_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,unclassified Prasinovirus,Bathycoccus sp. RCC1105 virus BpV,Bathycoccus sp. RCC1105 virus BpV1,,,,,,,,,,,,,,

53,Vir./Bathycoccus/1-113 sp. RCC1105 virus BpV1/E5ESJ8_9PHYC/249-361,E5ESJ8_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,unclassified Prasinovirus,Bathycoccus sp. RCC1105 virus BpV,Bathycoccus sp. RCC1105 virus BpV1,,,,,,,,,,,,,,

54,Vir./Bodo/1-190 saltans virus/A0A2H4UUL3_9VIRU/3999-4188,A0A2H4UUL3_9VIRU,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,unclassified Mimiviridae,Klosneuvirinae,Klosneuvirus,Bodo saltans virus,,,,,,,,,,,,,,

55,Vir./Bodo/1-343 saltans virus/A0A2H4UUG0_9VIRU/188-530,A0A2H4UUG0_9VIRU,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,unclassified Mimiviridae,Klosneuvirinae,Klosneuvirus,Bodo saltans virus,,,,,,,,,,,,,,

56,Vir./Bodo/1-189 saltans virus/A0A2H4UUF1_9VIRU/332-520,A0A2H4UUF1_9VIRU,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,unclassified Mimiviridae,Klosneuvirinae,Klosneuvirus,Bodo saltans virus,,,,,,,,,,,,,,

57,Vir./Bodo/1-200 saltans virus/A0A2H4UUK7_9VIRU/476-675,A0A2H4UUK7_9VIRU,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,unclassified Mimiviridae,Klosneuvirinae,Klosneuvirus,Bodo saltans virus,,,,,,,,,,,,,,

58,Vir./Bohle/1-200 iridovirus/C5H9K5_9VIRU/260-459,C5H9K5_9VIRU,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Alphairidovirinae,Ranavirus,Frog virus 3 (FV-3),Bohle iridovirus,,,,,,,,,,,,,,

59,Vir./Brazilian/1-198 marseillevirus/A0A142CKE3_9VIRU/273-470,A0A142CKE3_9VIRU,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Marseilleviridae,Marseillevirus,unclassified Marseillevirus,Brazilian marseillevirus,,,,,,,,,,,,,,,

60,Vir./Cafeteria/1-190 roenbergensis virus strain BV-PW1 CroV/E3T4U6_CROVB/312-501,E3T4U6_CROVB,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Cafeteriavirus,Cafeteria roenbergensis virus,Cafeteria roenbergensis virus (strain BV-PW1) (CroV),,,,,,,,,,,,,,,

61,Vir./Cafeteria/1-173 roenbergensis virus strain BV-PW1 CroV/E3T592_CROVB/476-648,E3T592_CROVB,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Cafeteriavirus,Cafeteria roenbergensis virus,Cafeteria roenbergensis virus (strain BV-PW1) (CroV),,,,,,,,,,,,,,,

62,Vir./Cafeteria/1-276 roenbergensis virus strain BV-PW1 CroV/E3T5B3_CROVB/226-501,E3T5B3_CROVB,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Cafeteriavirus,Cafeteria roenbergensis virus,Cafeteria roenbergensis virus (strain BV-PW1) (CroV),,,,,,,,,,,,,,,

63,Vir./Cafeteria/1-212 roenbergensis virus strain BV-PW1 CroV/E3T5G9_CROVB/245-456,E3T5G9_CROVB,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Cafeteriavirus,Cafeteria roenbergensis virus,Cafeteria roenbergensis virus (strain BV-PW1) (CroV),,,,,,,,,,,,,,,

64,Vir./Cherax/1-201 quadricarinatus iridovirus/A0A249Y6I2_9VIRU/273-473,A0A249Y6I2_9VIRU,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,unclassified Iridoviridae,Cherax quadricarinatus iridovirus,,,,,,,,,,,,,,,,

65,Vir./Chrysochromulina/1-290 ericina virus CeV01/A0A0N7G7L2_CEV01/289-578,A0A0N7G7L2_CEV01,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,unclassified Phycodnaviridae,Chrysochromulina ericina virus (CeV01),,,,,,,,,,,,,,,,

66,Vir./Chrysochromulina/1-333 ericina virus CeV01/A0A0N9QWW3_CEV01/480-812,A0A0N9QWW3_CEV01,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,unclassified Phycodnaviridae,Chrysochromulina ericina virus (CeV01),,,,,,,,,,,,,,,,

67,Vir./Common/1-200 midwife toad virus/A0A0A0VGI5_9VIRU/260-459,A0A0A0VGI5_9VIRU,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Alphairidovirinae,Ranavirus,Common midwife toad virus,,,,,,,,,,,,,,,

68,Vir./Diadromus/1-182 pulchellus ascovirus 4a/F2NYU8_9VIRU/248-429,F2NYU8_9VIRU,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Ascoviridae,Toursvirus,Diadromus pulchellus toursvirus,Diadromus pulchellus ascovirus 4a,,,,,,,,,,,,,,,

69,Vir./Dishui/1-161 lake phycodnavirus 1/A0A2K9R7N7_9PHYC/208-368,A0A2K9R7N7_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,unclassified Prasinovirus,Dishui lake phycodnavirus 1,,,,,,,,,,,,,,,

70,Vir./Dishui/1-195 lake phycodnavirus 1/A0A2K9R570_9PHYC/240-434,A0A2K9R570_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,unclassified Prasinovirus,Dishui lake phycodnavirus 1,,,,,,,,,,,,,,,

71,Vir./Dishui/1-183 lake phycodnavirus 1/A0A2N9QVU7_9PHYC/188-370,A0A2N9QVU7_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,unclassified Prasinovirus,Dishui lake phycodnavirus 1,,,,,,,,,,,,,,,

72,Vir./Dishui/1-191 lake phycodnavirus 1/A0A2K9R7L7_9PHYC/251-441,A0A2K9R7L7_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,unclassified Prasinovirus,Dishui lake phycodnavirus 1,,,,,,,,,,,,,,,

73,Vir./Dishui/1-221 lake phycodnavirus 1/A0A2N9QVX5_9PHYC/204-424,A0A2N9QVX5_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,unclassified Prasinovirus,Dishui lake phycodnavirus 1,,,,,,,,,,,,,,,

74,Vir./Ectocarpus/1-188 siliculosus virus 1 isolate New Zealand/Kaikoura/1988 EsV-1/Q8QNG3_ESV1K/244-431,Q8QNG3_ESV1K,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Phaeovirus,Ectocarpus siliculosus virus 1 (EsV-1),Ectocarpus siliculosus virus 1 (isolate New Zealand/Kaikoura/1988) (EsV-1),,,,,,,,,,,,,,,

75,Vir./Emiliania/1-168 huxleyi virus PS401/G8DGH5_9PHYC/348-515,G8DGH5_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,unclassified Phycodnaviridae,Emiliania huxleyi virus PS401,,,,,,,,,,,,,,,,

76,Vir./Emiliania/1-172 huxleyi virus 156/V5LQ66_9PHYC/320-491,V5LQ66_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Coccolithovirus,unclassified Coccolithovirus,Emiliania huxleyi virus 156,,,,,,,,,,,,,,,

77,Vir./Emiliania/1-172 huxleyi virus 18/V5LLX1_9PHYC/320-491,V5LLX1_9PHYC,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Coccolithovirus,unclassified Coccolithovirus,Emiliania huxleyi virus 18,,,,,,,,,,,,,,,

78,Vir./Emiliania/1-172 huxleyi virus 86 isolate United Kingdom/English Channel/1999 EhV-86/Q4A348_EHV8U/320-491,Q4A348_EHV8U,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Coccolithovirus,Emiliania huxleyi virus 86 (EhV-86),Emiliania huxleyi virus 86 (isolate United Kingdom/English Channel/1999) (EhV-86),,,,,,,,,,,,,,,

79,Vir./Epizootic/1-200 haematopoietic necrosis virus/Q80QA0_9VIRU/260-459,Q80QA0_9VIRU,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Alphairidovirinae,Ranavirus,Epizootic haematopoietic necrosis virus,,,,,,,,,,,,,,,

